x, y, V
0,-80,1.58
0,-70,1.7
0, -60, 1.99
0, -50, 2.21
0, -40, 2.67
0, -30, 2.77
0, -20, 3.78
0, -10, 4.17
0, 0, 4.8
0, 10,5.02
0, 20,5.65
0, 30,6.2
0, 40,7.07
0, 50,7.5
0, 60,7.83
0, 70,7.93
0, 80,8.11
10, -80,1.37
10, -70,1.41
10, -60,1.74
10, -50,1.99
10, -40,2.35
10, -30,2.91
10, -20,3.52
10, -10,4.38
10, 0,4.76
10, 10,5.42
10, 20,5.99
10, 30,6.68
10, 40,7.39
10, 50,7.78
10, 60,8.09
10, 70,8.1
10, 80,8.39
20, -80,1.25
20, -70,1.28
20, -60,1.32
20, -50,1.4
20, -40,1.73
20, -30,2.23
20, -20,2.94
20, -10,3.9
20, 0,4.7
20, 10,5.49
20, 20,6.2
20, 30,6.9
20, 40,8.15
20, 50,8.4
20, 60,8.35
20, 70,8.6
20, 80,8.7
40, -20,1.56
40, -15,2.38
40, -10,3.15
40, -5,3.87
40, 0,4.6
40, 5,5.23
40, 10,5.98
40, 15,6.7
40, 20,7.55
110, -20,2.12
110, -15,2.7
110, -10,3.32
110, -5,4.22
110, 0,4.98
110, 5,5.7
110, 10,6.38
110, 15,7.06
110, 20,7.89
150, -20,1.83
150, -15,2.53
150, -10,3.23
150, -5,3.94
150, 0,4.79
150, 5,5.42
150, 10,6.19
150, 15,6.98
150, 20,7.73
